consensus sequence output,Number of input sequences considered,sequence found in vulgar file,number of aligned reads,# skipped reads due to low rel. score,Length of alignment,Coverage minimum,Coverage maximum,Coverage mean,Coverage median,total_length,num_n,num_gaps
BGENL008-23_r_1_s_100,             8073163,  4009,              3927,               49,                              1533,                                 1,                                 415,                                    272.43,                                  294.00,1533,0,0
BGENL008-23_r_1_s_50,             8073163,  5913,              5182,               238,                              1533,                                 2,                                 441,                                    309.72,                                  325.00,1533,0,0
BGENL008-23_r_1.3_s_100,             8073163,  4009,              3565,               411,                              1533,                                 0,                                 414,                                    245.70,                                  273.00,1533,0,24
BGENL008-23_r_1.3_s_50,             8073163,  5913,              4486,               1124,                              1533,                                 0,                                 437,                                    277.03,                                  301.00,1533,0,21
BGENL008-23_r_1.5_s_100,             8073163,  4009,              2472,               1504,                              1533,                                 0,                                 411,                                    165.81,                                  119.00,1533,0,111
BGENL008-23_r_1.5_s_50,             8073163,  5913,              3057,               2553,                              1533,                                 0,                                 434,                                    184.49,                                  160.00,1533,0,102
BGENL009-23_r_1_s_100,             313984,  45,              45,               0,                              1533,                                 0,                                 8,                                    3.01,                                  4.00,1533,93,288
BGENL009-23_r_1_s_50,             313984,  107,              91,               8,                              1533,                                 0,                                 12,                                    4.49,                                  4.00,1533,81,117
BGENL009-23_r_1.3_s_100,             313984,  45,              38,               7,                              1533,                                 0,                                 8,                                    2.54,                                  2.00,1533,80,492
BGENL009-23_r_1.3_s_50,             313984,  107,              73,               26,                              1533,                                 0,                                 10,                                    3.63,                                  4.00,1533,52,327
BGENL009-23_r_1.5_s_100,             313984,  45,              26,               19,                              1533,                                 0,                                 8,                                    1.57,                                  0.00,1533,41,768
BGENL009-23_r_1.5_s_50,             313984,  107,              45,               54,                              1533,                                 0,                                 8,                                    2.13,                                  2.00,1533,52,606
BGENL010-23_r_1_s_100,             1723753,  893,              881,               8,                              1533,                                 10,                                 110,                                    49.50,                                  47.00,1533,1,0
BGENL010-23_r_1_s_50,             1723753,  1711,              1593,               61,                              1533,                                 18,                                 138,                                    73.50,                                  70.00,1533,0,0
BGENL010-23_r_1.3_s_100,             1723753,  893,              850,               39,                              1533,                                 0,                                 107,                                    47.27,                                  46.00,1533,6,6
BGENL010-23_r_1.3_s_50,             1723753,  1711,              1449,               205,                              1533,                                 4,                                 135,                                    66.60,                                  66.00,1533,3,0
BGENL010-23_r_1.5_s_100,             1723753,  893,              677,               212,                              1533,                                 0,                                 106,                                    37.29,                                  35.00,1533,7,51
BGENL010-23_r_1.5_s_50,             1723753,  1711,              1111,               551,                              1533,                                 2,                                 134,                                    50.67,                                  49.00,1533,14,0
BGENL011-23_r_1_s_100,             4828538,  1673,              1646,               16,                              1533,                                 9,                                 204,                                    91.91,                                  83.00,1533,0,0
BGENL011-23_r_1_s_50,             4828538,  3704,              3406,               102,                              1533,                                 9,                                 306,                                    149.88,                                  138.00,1533,0,0
BGENL011-23_r_1.3_s_100,             4828538,  1673,              1493,               171,                              1533,                                 0,                                 202,                                    80.45,                                  74.00,1533,0,15
BGENL011-23_r_1.3_s_50,             4828538,  3704,              2876,               657,                              1533,                                 0,                                 271,                                    123.37,                                  118.00,1533,0,15
BGENL011-23_r_1.5_s_100,             4828538,  1673,              1285,               381,                              1533,                                 0,                                 199,                                    67.72,                                  63.00,1533,0,150
BGENL011-23_r_1.5_s_50,             4828538,  3704,              2241,               1324,                              1533,                                 0,                                 266,                                    96.11,                                  94.00,1533,0,111
BGENL012-23_r_1_s_100,             553969,  82,              69,               11,                              1533,                                 0,                                 12,                                    4.56,                                  4.00,1533,85,87
BGENL012-23_r_1_s_50,             553969,  200,              134,               20,                              1533,                                 0,                                 18,                                    6.78,                                  6.00,1533,70,45
BGENL012-23_r_1.3_s_100,             553969,  82,              54,               26,                              1533,                                 0,                                 10,                                    3.41,                                  3.00,1533,54,135
BGENL012-23_r_1.3_s_50,             553969,  200,              86,               68,                              1533,                                 0,                                 12,                                    4.37,                                  4.00,1533,57,81
BGENL012-23_r_1.5_s_100,             553969,  82,              37,               43,                              1533,                                 0,                                 8,                                    2.29,                                  2.00,1533,29,279
BGENL012-23_r_1.5_s_50,             553969,  200,              63,               91,                              1533,                                 0,                                 10,                                    3.05,                                  2.00,1533,39,222
BGENL013-23_r_1_s_100,             804124,  391,              378,               7,                              1542,                                 0,                                 56,                                    22.54,                                  20.00,1542,1,9
BGENL013-23_r_1_s_50,             804124,  608,              540,               16,                              1542,                                 0,                                 57,                                    27.94,                                  27.00,1542,7,9
BGENL013-23_r_1.3_s_100,             804124,  391,              368,               17,                              1542,                                 0,                                 54,                                    21.84,                                  20.00,1542,3,9
BGENL013-23_r_1.3_s_50,             804124,  608,              513,               44,                              1542,                                 0,                                 56,                                    26.47,                                  26.00,1542,5,9
BGENL013-23_r_1.5_s_100,             804124,  391,              356,               29,                              1542,                                 0,                                 50,                                    20.99,                                  20.00,1542,0,9
BGENL013-23_r_1.5_s_50,             804124,  608,              483,               76,                              1542,                                 0,                                 50,                                    24.97,                                  24.00,1542,0,9
BGENL014-23_r_1_s_100,             822011,  97,              86,               11,                              1542,                                 0,                                 11,                                    5.46,                                  6.00,1542,90,108
BGENL014-23_r_1_s_50,             822011,  214,              142,               31,                              1542,                                 0,                                 13,                                    7.24,                                  8.00,1542,109,18
BGENL014-23_r_1.3_s_100,             822011,  97,              70,               27,                              1542,                                 0,                                 10,                                    4.23,                                  4.00,1542,57,129
BGENL014-23_r_1.3_s_50,             822011,  214,              99,               74,                              1542,                                 0,                                 13,                                    5.04,                                  4.00,1542,66,45
BGENL014-23_r_1.5_s_100,             822011,  97,              55,               42,                              1542,                                 0,                                 8,                                    3.30,                                  3.00,1542,38,282
BGENL014-23_r_1.5_s_50,             822011,  214,              76,               97,                              1542,                                 0,                                 10,                                    3.89,                                  4.00,1542,53,126
BGENL015-23_r_1_s_100,             657613,  104,              91,               11,                              1542,                                 0,                                 14,                                    4.83,                                  4.00,1542,50,258
BGENL015-23_r_1_s_50,             657613,  255,              208,               21,                              1542,                                 0,                                 20,                                    8.44,                                  8.00,1542,61,27
BGENL015-23_r_1.3_s_100,             657613,  104,              89,               13,                              1542,                                 0,                                 14,                                    4.70,                                  4.00,1542,43,258
BGENL015-23_r_1.3_s_50,             657613,  255,              184,               45,                              1542,                                 0,                                 20,                                    7.39,                                  8.00,1542,41,42
BGENL015-23_r_1.5_s_100,             657613,  104,              78,               24,                              1542,                                 0,                                 14,                                    3.91,                                  4.00,1542,33,279
BGENL015-23_r_1.5_s_50,             657613,  255,              165,               66,                              1542,                                 0,                                 18,                                    6.34,                                  6.00,1542,33,120
BGENL016-23_r_1_s_100,             1023959,  119,              108,               8,                              1542,                                 0,                                 15,                                    7.71,                                  8.00,1542,51,54
BGENL016-23_r_1_s_50,             1023959,  245,              175,               19,                              1542,                                 0,                                 23,                                    9.99,                                  10.00,1542,50,36
BGENL016-23_r_1.3_s_100,             1023959,  119,              78,               38,                              1542,                                 0,                                 14,                                    5.25,                                  6.00,1542,33,153
BGENL016-23_r_1.3_s_50,             1023959,  245,              114,               80,                              1542,                                 0,                                 16,                                    6.37,                                  6.00,1542,31,63
BGENL016-23_r_1.5_s_100,             1023959,  119,              57,               59,                              1542,                                 0,                                 14,                                    3.40,                                  3.00,1542,53,558
BGENL016-23_r_1.5_s_50,             1023959,  245,              80,               114,                              1542,                                 0,                                 14,                                    4.07,                                  4.00,1542,34,417
BGENL017-23_r_1_s_100,             2131679,  376,              357,               17,                              1542,                                 0,                                 48,                                    18.73,                                  18.00,1542,24,42
BGENL017-23_r_1_s_50,             2131679,  1017,              913,               31,                              1542,                                 0,                                 84,                                    35.97,                                  36.00,1542,2,3
BGENL017-23_r_1.3_s_100,             2131679,  376,              341,               33,                              1542,                                 0,                                 48,                                    17.55,                                  15.50,1542,16,42
BGENL017-23_r_1.3_s_50,             2131679,  1017,              842,               112,                              1542,                                 0,                                 75,                                    32.70,                                  32.00,1542,1,3
BGENL017-23_r_1.5_s_100,             2131679,  376,              326,               48,                              1542,                                 0,                                 48,                                    16.46,                                  14.00,1542,4,78
BGENL017-23_r_1.5_s_50,             2131679,  1017,              761,               193,                              1542,                                 0,                                 67,                                    29.39,                                  29.00,1542,0,21
BGENL018-23_r_1_s_100,             2411736,  908,              891,               16,                              1542,                                 0,                                 124,                                    45.71,                                  42.00,1542,0,9
BGENL018-23_r_1_s_50,             2411736,  2153,              1968,               44,                              1542,                                 0,                                 155,                                    79.12,                                  76.00,1542,0,9
BGENL018-23_r_1.3_s_100,             2411736,  908,              872,               35,                              1542,                                 0,                                 124,                                    44.26,                                  40.00,1542,0,9
BGENL018-23_r_1.3_s_50,             2411736,  2153,              1886,               153,                              1542,                                 0,                                 151,                                    75.38,                                  72.00,1542,0,9
BGENL018-23_r_1.5_s_100,             2411736,  908,              822,               85,                              1542,                                 0,                                 122,                                    41.13,                                  36.00,1542,0,9
BGENL018-23_r_1.5_s_50,             2411736,  2153,              1713,               333,                              1542,                                 0,                                 137,                                    68.01,                                  66.00,1542,0,9
BGENL019-23_r_1_s_100,             57097576,  14269,              14157,               61,                              1533,                                 0,                                 1298,                                    751.93,                                  747.00,1533,0,3
BGENL019-23_r_1_s_50,             57097576,  32662,              31138,               652,                              1533,                                 0,                                 2487,                                    1276.24,                                  1252.00,1533,0,3
BGENL019-23_r_1.3_s_100,             57097576,  14269,              13760,               458,                              1533,                                 0,                                 1290,                                    723.71,                                  734.00,1533,0,3
BGENL019-23_r_1.3_s_50,             57097576,  32662,              29873,               1927,                              1533,                                 0,                                 2396,                                    1216.13,                                  1209.00,1533,0,3
BGENL019-23_r_1.5_s_100,             57097576,  14269,              12412,               1806,                              1533,                                 0,                                 1271,                                    638.66,                                  686.00,1533,0,3
BGENL019-23_r_1.5_s_50,             57097576,  32662,              25510,               6294,                              1533,                                 0,                                 2143,                                    1031.88,                                  1057.00,1533,0,3
BGENL020-23_r_1_s_100,             13373079,  187,              183,               4,                              1533,                                 0,                                 22,                                    10.32,                                  10.00,1533,40,42
BGENL020-23_r_1_s_50,             13373079,  954,              451,               197,                              1533,                                 0,                                 44,                                    18.33,                                  17.00,1533,52,3
BGENL020-23_r_1.3_s_100,             13373079,  187,              175,               12,                              1533,                                 0,                                 22,                                    9.77,                                  8.00,1533,34,45
BGENL020-23_r_1.3_s_50,             13373079,  954,              364,               284,                              1533,                                 0,                                 39,                                    15.28,                                  14.00,1533,33,3
BGENL020-23_r_1.5_s_100,             13373079,  187,              152,               35,                              1533,                                 0,                                 20,                                    8.23,                                  7.00,1533,46,45
BGENL020-23_r_1.5_s_50,             13373079,  954,              306,               342,                              1533,                                 0,                                 36,                                    12.50,                                  12.00,1533,34,6
BGENL021-23_r_1_s_100,             11114861,  152,              133,               19,                              1533,                                 0,                                 20,                                    8.67,                                  8.00,1533,52,3
BGENL021-23_r_1_s_50,             11114861,  908,              422,               190,                              1533,                                 0,                                 61,                                    17.92,                                  12.00,1533,50,3
BGENL021-23_r_1.3_s_100,             11114861,  152,              115,               37,                              1533,                                 0,                                 16,                                    7.26,                                  8.00,1533,7,135
BGENL021-23_r_1.3_s_50,             11114861,  908,              240,               372,                              1533,                                 0,                                 46,                                    10.77,                                  10.00,1533,11,45
BGENL021-23_r_1.5_s_100,             11114861,  152,              104,               48,                              1533,                                 0,                                 16,                                    6.38,                                  7.00,1533,16,156
BGENL021-23_r_1.5_s_50,             11114861,  908,              178,               434,                              1533,                                 0,                                 20,                                    8.48,                                  8.00,1533,13,114
BGENL022-23_r_1_s_100,             31976221,  31773,              31180,               342,                              1533,                                 671,                                 3235,                                    2017.52,                                  1975.00,1533,0,0
BGENL022-23_r_1_s_50,             31976221,  44761,              40501,               1802,                              1533,                                 1163,                                 3453,                                    2328.74,                                  2258.00,1533,0,0
BGENL022-23_r_1.3_s_100,             31976221,  31773,              29398,               2125,                              1533,                                 670,                                 3049,                                    1870.06,                                  1807.00,1533,0,0
BGENL022-23_r_1.3_s_50,             31976221,  44761,              37501,               4822,                              1533,                                 1159,                                 3232,                                    2132.86,                                  2069.00,1533,0,0
BGENL022-23_r_1.5_s_100,             31976221,  31773,              27122,               4402,                              1533,                                 651,                                 2930,                                    1712.94,                                  1677.00,1533,0,0
BGENL022-23_r_1.5_s_50,             31976221,  44761,              33632,               8721,                              1533,                                 913,                                 3103,                                    1920.95,                                  1885.00,1533,0,0
BGENL023-23_r_1_s_100,             15941243,  386,              325,               58,                              1533,                                 0,                                 122,                                    18.92,                                  10.00,1533,63,18
BGENL023-23_r_1_s_50,             15941243,  2575,              1836,               508,                              1533,                                 3,                                 313,                                    71.46,                                  29.00,1533,56,0
BGENL023-23_r_1.3_s_100,             15941243,  386,              210,               173,                              1533,                                 0,                                 95,                                    11.08,                                  6.00,1533,36,18
BGENL023-23_r_1.3_s_50,             15941243,  2575,              928,               1416,                              1533,                                 2,                                 277,                                    32.16,                                  10.00,1533,31,0
BGENL023-23_r_1.5_s_100,             15941243,  386,              159,               224,                              1533,                                 0,                                 73,                                    8.18,                                  4.00,1533,13,39
BGENL023-23_r_1.5_s_50,             15941243,  2575,              511,               1833,                              1533,                                 0,                                 219,                                    17.75,                                  8.00,1533,19,18
BGENL024-23_r_1_s_100,             7652044,  11085,              11044,               13,                              1533,                                 261,                                 1058,                                    689.54,                                  675.00,1533,0,0
BGENL024-23_r_1_s_50,             7652044,  15518,              14945,               228,                              1533,                                 442,                                 1153,                                    814.49,                                  796.00,1533,0,0
BGENL024-23_r_1.3_s_100,             7652044,  11085,              10924,               133,                              1533,                                 261,                                 1052,                                    680.37,                                  665.00,1533,0,0
BGENL024-23_r_1.3_s_50,             7652044,  15518,              14671,               518,                              1533,                                 442,                                 1144,                                    799.73,                                  781.00,1533,0,0
BGENL024-23_r_1.5_s_100,             7652044,  11085,              10323,               734,                              1533,                                 253,                                 1029,                                    643.87,                                  645.00,1533,0,0
BGENL024-23_r_1.5_s_50,             7652044,  15518,              13477,               1731,                              1533,                                 369,                                 1114,                                    743.13,                                  747.00,1533,0,0
BGENL025-23_r_1_s_100,             357975,  67,              59,               8,                              1533,                                 0,                                 16,                                    4.22,                                  3.00,1533,32,288
BGENL025-23_r_1_s_50,             357975,  107,              83,               10,                              1533,                                 0,                                 17,                                    5.07,                                  4.00,1533,55,99
BGENL025-23_r_1.3_s_100,             357975,  67,              48,               19,                              1533,                                 0,                                 12,                                    3.28,                                  2.00,1533,24,435
BGENL025-23_r_1.3_s_50,             357975,  107,              69,               24,                              1533,                                 0,                                 12,                                    4.00,                                  4.00,1533,31,294
BGENL025-23_r_1.5_s_100,             357975,  67,              36,               31,                              1533,                                 0,                                 11,                                    2.38,                                  1.00,1533,34,750
BGENL025-23_r_1.5_s_50,             357975,  107,              51,               42,                              1533,                                 0,                                 11,                                    2.88,                                  2.00,1533,37,525
BGENL026-23_r_1_s_100,             54550141,  4052,              3981,               0,                              1533,                                 72,                                 344,                                    234.80,                                  233.00,1533,0,0
BGENL026-23_r_1_s_50,             54550141,  8170,              6302,               573,                              1533,                                 130,                                 447,                                    309.33,                                  310.00,1533,0,0
BGENL026-23_r_1.3_s_100,             54550141,  4052,              3910,               71,                              1533,                                 72,                                 342,                                    230.00,                                  227.00,1533,0,0
BGENL026-23_r_1.3_s_50,             54550141,  8170,              5823,               1070,                              1533,                                 114,                                 436,                                    290.33,                                  292.00,1533,0,0
BGENL026-23_r_1.5_s_100,             54550141,  4052,              3416,               565,                              1533,                                 37,                                 338,                                    198.88,                                  210.00,1533,0,0
BGENL026-23_r_1.5_s_50,             54550141,  8170,              4853,               2042,                              1533,                                 37,                                 414,                                    243.60,                                  254.00,1533,0,0
