ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	is_valid	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	timestamp
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Aphididae	BLAST	family	True	656	658	Aphididae	27173	Lipaphis pseudobrassicae	0	2025-01-25 17:48:49
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Aphididae	BLAST	family	False	672	673	Aphididae	38740	Macrosiphum cholodkovskyi	15	2025-01-25 17:50:03
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Zonitidae	BLAST	family	True	654	655	Zonitidae,Ariophantidae,Helicarionidae	27710	Vitrea crystallina	0	2025-01-25 17:51:18
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Limacidae	BLAST	family	True	653	655	Limacidae	47214	Malacolimax tenellus	0	2025-01-25 17:52:19
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Lycosidae	BLAST	family	True	657	658	Lycosidae	6812	Pardosa prativaga	0	2025-01-25 17:53:31
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Lycosidae	BLAST	family	True	657	658	Lycosidae	38824	Pardosa pullata	0	2025-01-25 17:54:26
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Salticidae	BLAST	family	True	655	657	Salticidae	38832	Marpissa radiata	0	2025-01-25 17:55:23
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	False	657	658	Tetragnathidae,Pachylaelapidae,Zerconidae,Rhodacaridae	6852	Gnathonarium dentatum	0	2025-01-25 17:56:25
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Wrangeliaceae	BLAST	family	False	662	664	Gracilariaceae	27758	Halurus flosculosus	0	2025-01-25 17:57:16
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Hebridae	BLAST	family	False	656	658	Gerridae,Veliidae	7056	Hebrus sp.	0	2025-01-25 17:58:25
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Chloropidae	BLAST	family	True	657	658	Chloropidae	27839	Thaumatomyia notata	0	2025-01-25 17:59:50
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Limoniidae	BLAST	family	True	657	658	Limoniidae,Pediciidae,Drosophilidae,Sepsidae	27901	Ilisia maculata	0	2025-01-25 18:01:05
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Geometridae	BLAST	family	True	657	658	Geometridae	39269	Gandaritis pyraliata	0	2025-01-25 18:02:17
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Coreidae	BLAST	family	False	657	658	Rhopalidae	8851	Coreidae	0	2025-01-25 18:03:33
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	657	658	Linyphiidae	9099	Lepthyphantes minutus	0	2025-01-25 18:04:29
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Geometridae	BLAST	family	True	656	658	Geometridae	47709	Thera britannica	0	2025-01-25 18:05:43
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Bethylidae	BLAST	family	False	656	658	Cantharidae	51100	Bethylus fuscicornis	0	2025-01-25 18:06:55
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Curculionidae	BLAST	family	True	657	658	Curculionidae	47729	Polydrusus formosus	0	2025-01-25 18:08:03
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Lauxaniidae	BLAST	family	True	656	657	Carnidae,Drosophilidae,Lauxaniidae,Sepsidae	47737	Homoneura interstincta	0	2025-01-25 18:09:21
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Araneidae	BLAST	family	True	656	658	Araneidae	10147	Zygiella x-notata	0	2025-01-25 18:10:24
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	653	657	Linyphiidae	40819	Prinerigone vagans	0	2025-01-25 18:11:21
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Chrysomelidae	BLAST	family	False	661	664	Cecidomyiidae,Keroplatidae,Braconidae,Pyralidae	47936	Donacia clavipes	0	2025-01-25 18:12:54
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Valloniidae	BLAST	family	False	660	664	Ampullariidae,Littorinidae,Annulariidae,Pomatiidae,Bursidae,Hydrobiidae	29812	Vallonia pulchella	0	2025-01-25 18:14:07
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Aphididae	BLAST	family	False	647	652		40907	Dysaphis radicola	7	2025-01-25 18:15:13
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	656	658	Linyphiidae	40931	Hypomma fulvum	0	2025-01-25 18:16:10
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Halictidae	BLAST	family	True	656	658	Halictidae	10627	Halictus sp.	0	2025-01-25 18:17:21
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ichneumonidae	BLAST	family	True	657	658	Ichneumonidae	41261	Deuteroxorides elevator	0	2025-01-25 18:18:38
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Aphididae	BLAST	family	False	657	658	Braconidae	30045	Uroleucon sonchi	0	2025-01-25 18:19:49
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Aphididae	BLAST	family	False	657	658	Braconidae	30052	Lipaphis pseudobrassicae	0	2025-01-25 18:20:57
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ichneumonidae	BLAST	family	True	657	658	Ichneumonidae	12256	Meloboris collector	0	2025-01-25 18:22:11
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Cladophoraceae	BLAST	family	False	612	652		30073	Cladophora albida	1	2025-01-25 18:23:08
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Prasiolaceae	BLAST	family	False	631	652		30098	Prasiola stipitata	6	2025-01-25 18:24:14
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ceramiaceae	BLAST	family	False	631	652		30100	Antithamnionella spirographidis	6	2025-01-25 18:25:04
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Champiaceae	BLAST	family	False	649	652		30111	Gastroclonium ovatum	0	2025-01-25 18:25:55
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Gigartinaceae	BLAST	family	False	649	652		30117	Chondracanthus acicularis	0	2025-01-25 18:26:46
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Dolichopodidae	BLAST	family	True	656	658	Empididae,Dolichopodidae	12439	Dolichopodidae	0	2025-01-25 18:28:01
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Solieriaceae	BLAST	family	False	619	653		30120	Agardhiella subulata	0	2025-01-25 18:28:52
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Hapalidiaceae	BLAST	family	False	618	652		30121	Phymatolithon lenormandii	0	2025-01-25 18:29:43
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Corallinaceae	BLAST	family	False	596	652		30186	Pneophyllum confervicola	0	2025-01-25 18:30:38
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Codiaceae	BLAST	family	False	647	652		30199	Codium tomentosum	0	2025-01-25 18:31:29
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Geomitridae	BLAST	family	False	670	673	Camaenidae	48246	Xeroplexa intersecta	0	2025-01-25 18:32:29
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Codiaceae	BLAST	family	False	602	661		48247	Codium fragile	0	2025-01-25 18:33:21
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Tellinidae	BLAST	family	False	617	652		51556	Macoma balthica	0	2025-01-25 18:34:21
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphaeromatidae	BLAST	family	False	602	652		30234	Lekanesphaera rugicauda	0	2025-01-25 18:35:18
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Rhodomelaceae	BLAST	family	False	613	649		48300	Melanothamnus harveyi	0	2025-01-25 18:36:14
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Halichondriidae	BLAST	family	False	640	652		48313	Halichondria panicea	4	2025-01-25 18:37:09
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Codiaceae	BLAST	family	False	617	652		30376	Codium tomentosum	0	2025-01-25 18:38:00
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ceramiaceae	BLAST	family	False	677	681		48318	Ceramium virgatum	1	2025-01-25 18:38:51
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Geomitridae	BLAST	family	False	657	661		51629	Xeroplexa intersecta	0	2025-01-25 18:39:53
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Codiaceae	BLAST	family	False	645	649		48326	Codium fragile	0	2025-01-25 18:40:43
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Hapalidiaceae	BLAST	family	False	616	652		30415	Phymatolithon lenormandii	0	2025-01-25 18:41:34
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Tellinidae	BLAST	family	False	616	652		51661	Macoma balthica	0	2025-01-25 18:42:34
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Solieriaceae	BLAST	family	False	670	673		48346	Agardhiella subulata	0	2025-01-25 18:43:41
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Chrysomelidae	BLAST	family	True	656	658	Chrysomelidae	51671	Clytra quadripunctata	0	2025-01-25 18:44:48
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Bithyniidae	BLAST	family	False	657	658	Muricidae,Fasciolariidae,Cochliopidae,Trochidae,Turbinidae,Solariellidae	48369	Bithynia leachii	0	2025-01-25 18:45:55
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Wrangeliaceae	BLAST	family	False	663	664	Rhodomelaceae,Dasyaceae,Kallymeniaceae,Acrothesauraceae	30457	Halurus flosculosus	0	2025-01-25 18:46:48
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Prasiolaceae	BLAST	family	False	648	652		30475	Prasiola stipitata	9	2025-01-25 18:47:38
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ceramiaceae	BLAST	family	False	647	652		30477	Ceramium gaditanum	9	2025-01-25 18:48:28
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Cladophoraceae	BLAST	family	False	649	652		48406	Chaetomorpha ligustica	12	2025-01-25 18:49:19
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Erythrotrichiaceae	BLAST	family	False	649	652		48407	Erythrocladia sp.	13	2025-01-25 18:50:34
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Palmariaceae	BLAST	family	False	649	652		30504	Palmaria palmata	13	2025-01-25 18:51:24
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Gigartinaceae	BLAST	family	False	648	651		30508	Chondracanthus acicularis	13	2025-01-25 18:52:15
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Rhodomelaceae	BLAST	family	False	648	651		48413	Melanothamnus harveyi	13	2025-01-25 18:53:05
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ceramiaceae	BLAST	family	False	649	652		48417	Ceramium virgatum	13	2025-01-25 18:53:56
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Codiaceae	BLAST	family	False	649	652		30513	Codium tomentosum	13	2025-01-25 18:54:46
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	661	664	Ctenizidae,Linyphiidae	46123	Gnathonarium dentatum	0	2025-01-25 18:55:41
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphaeriidae	BLAST	family	False	133	659		30581	Euglesa milium	1	2025-01-25 18:56:41
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ceramiaceae	BLAST	family	False	654	685		30587	Pterothamnion plumula	0	2025-01-25 18:57:32
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Curculionidae	BLAST	family	False	398	399	Curculionidae	48446	Otiorhynchus sulcatus	0	2025-01-25 18:58:40
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Acinetosporaceae	BLAST	family	False	595	649		48452	Pylaiella littoralis	0	2025-01-25 18:59:42
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Hapalidiaceae	BLAST	family	False	636	652		30639	Phymatolithon lenormandii	0	2025-01-25 19:00:33
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Semelidae	BLAST	family	False	657	661		30643	Abra tenuis	0	2025-01-25 19:01:33
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Rhodomelaceae	BLAST	family	False	593	648		48458	Melanothamnus harveyi	0	2025-01-25 19:02:23
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Rhodomelaceae	BLAST	family	False	643	652		48463	Vertebrata fucoides	8	2025-01-25 19:03:14
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Chrysomelidae	BLAST	family	False	395	396	Chrysomelidae	48465	Cassida rubiginosa	0	2025-01-25 19:04:21
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Elateridae	BLAST	family	False	649	652	Silphidae	51783	Cidnopus aeruginosus	8	2025-01-25 19:05:35
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphaeriidae	BLAST	family	False	649	652		31214	Euglesa personata	9	2025-01-25 19:06:35
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Amaurobiidae	BLAST	family	True	657	658	Amaurobiidae	14673	Amaurobius similis	0	2025-01-25 19:07:33
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Hymenoptera	BLAST	order	False	627	629	Coleoptera,Diptera,Lepidoptera	51788	Hymenoptera	0	2025-01-25 19:08:49
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Chrysomelidae	BLAST	family	False	627	629	Dermestidae,Dolichopodidae,Hesperiidae	51802	Cassida rubiginosa	0	2025-01-25 19:10:04
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	False	649	652		14978	Pelecopsis parallela	10	2025-01-25 19:11:01
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Ulvaceae	BLAST	family	False	674	679		31303	Blidingia marginata	0	2025-01-25 19:11:51
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphaeriidae	BLAST	family	True	663	664	Unionidae,Sphaeriidae	31330	Euglesa milium	0	2025-01-25 19:12:57
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Staphylinidae	BLAST	family	False	648	652		51908	Othius punctulatus	0	2025-01-25 19:14:03
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Theridiidae	BLAST	family	True	657	658	Theridiidae	15452	Paidiscura pallens	0	2025-01-25 19:15:06
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Theridiosomatidae	BLAST	family	True	656	658	Tetragnathidae,Theridiosomatidae	43049	Theridiosoma gemmosum	0	2025-01-25 19:16:03
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Dictynidae	BLAST	family	True	657	658	Dictynidae	15540	Lathys humilis	0	2025-01-25 19:16:58
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphaeromatidae	BLAST	family	True	657	658	Ligiidae,Trachelipodidae,Sphaeromatidae	31400	Lekanesphaera rugicauda	0	2025-01-25 19:18:00
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	655	658	Linyphiidae	15649	Ceratinella scabrosa	0	2025-01-25 19:18:56
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	654	657	Linyphiidae	15651	Collinsia inerrans	0	2025-01-25 19:19:53
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	655	658	Linyphiidae	15670	Pelecopsis parallela	0	2025-01-25 19:20:50
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Linyphiidae	BLAST	family	True	655	658	Linyphiidae	43203	Oedothorax retusus	0	2025-01-25 19:21:45
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Halymeniaceae	BLAST	family	False	646	652		48704	Grateloupia turuturu	3	2025-01-25 19:22:36
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sargassaceae	BLAST	family	False	673	676	Desmarestiaceae,Pseudoralfsiaceae	48732	Sargassum muticum	0	2025-01-25 19:23:46
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Codiaceae	BLAST	family	False	670	673		48733	Codium fragile	0	2025-01-25 19:24:37
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Rhodomelaceae	BLAST	family	False	673	676		48737	Melanothamnus harveyi	0	2025-01-25 19:25:27
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sphacelariaceae	BLAST	family	False	658	661		48739	Sphacelaria fusca	0	2025-01-25 19:26:29
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Caulacanthaceae	BLAST	family	False	658	661		48740	Caulacanthus okamurae	0	2025-01-25 19:27:20
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Cladophoraceae	BLAST	family	False	616	652		31516	Cladophora albida	0	2025-01-25 19:28:11
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Derbesiaceae	BLAST	family	False	617	652		31520	Derbesia marina	0	2025-01-25 19:29:01
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Caulacanthaceae	BLAST	family	True	663	664	Solieriaceae,Caulacanthaceae,Etheliaceae,Peyssonneliaceae	48757	Caulacanthus okamurae	0	2025-01-25 19:29:54
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Callithamniaceae	BLAST	family	True	663	664	Rhodomelaceae,Callithamniaceae,Cystocloniaceae,Mychodeaceae,Dicranemataceae	31582	Callithamnion corymbosum	0	2025-01-25 19:30:52
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Erythrotrichiaceae	BLAST	family	False	646	652		48768	Erythrocladia sp.	8	2025-01-25 19:32:07
0	0	examples/Bioinformaticians_Hack_Day_filter_on_identification.tsv	None	Sargassaceae	BLAST	family	False	647	653		48769	Sargassum muticum	1	2025-01-25 19:33:10
